R_HMR_0630	v345	3.1.1.4
R_HMR_0635	v349	3.1.4.2
R_HMR_0643	v354	3.1.1.4
R_HMR_0648	v358	2.7.1.82
R_HMR_0653	v360	2.1.1.17
R_HMR_7612	v3541	3.1.1.47
R_HMR_0815	v437	2.4.1.92
R_HMR_0816	v438	2.4.1.62
R_HMR_0828	v445	3.2.1.52
R_HMR_0829	v446	2.4.1.62
R_HMR_0838	v453	3.2.1.18
R_HMR_0843	v456	2.4.1.62
R_HMR_0844	v457	2.4.99.4
R_HMR_0853	v464	2.4.99.8
R_HMR_0857	v468	2.4.1.62
R_HMR_0809	v432	2.4.1.-
R_HMR_0814	v436	2.4.99.8
R_HMR_0865	v472	2.4.1.87
R_HMR_0884	v479	2.4.1.40
R_HMR_0890	v483	2.4.1.-
R_HMR_0902	v492	2.4.1.40
R_HMR_0907	v496	2.4.1.-
R_HMR_0925	v504	2.4.1.-
R_HMR_1981	v821	1.14.99.9
R_HMR_1327	v648	1.1.1.184
R_HMR_1327	v648	1.1.1.189
R_HMR_7205	v3260	2.4.1.135
R_HMR_7206	v3261	2.4.1.174
R_HMR_7207	v3262	2.4.1.223
R_HMR_7510	v3488	5.3.1.9
R_HMR_7520	v3496	2.4.1.175
R_HMR_7520	v3496	2.4.1.226
R_HMR_7535	v3506	2.4.1.175
R_HMR_7535	v3506	2.4.1.226
R_HMR_7502	v3482	3.1.6.12
R_HMR_7506	v3485	3.1.6.12
R_HMR_7514	v3491	3.1.6.12
R_HMR_7518	v3494	3.2.1.76
R_HMR_7558	v3521	3.1.6.12
R_HMR_7562	v3524	3.2.1.31
R_HMR_7234	v3285	3.2.1.50
R_HMR_7247	v3298	3.1.6.13
R_HMR_1605	v718	1.14.13.15
R_HMR_1638	v732	1.3.3.6
R_HMR_1638	v732	1.17.99.-
R_HMR_1662	v742	3.1.2.2
R_HMR_1663	v743	3.1.2.2
R_HMR_1682	v751	1.14.13.15
R_HMR_1727	v769	6.2.1.7
R_HMR_1805	v784	1.14.13.-
R_HMR_1813	v785	1.1.1.-
R_HMR_1841	v786	6.2.1.-
R_HMR_1841	v786	2.3.1.65
R_HMR_3799	v1904	3.1.2.2
R_HMR_3908	v1953	1.13.11.20
R_HMR_3910	v1954	4.1.1.15
R_HMR_3910	v1954	4.1.1.29
R_HMR_4262	v2136	2.4.2.12
R_HMR_4264	v2138	3.1.3.5
R_HMR_4268	v2142	2.7.1.23
R_HMR_4271	v2145	1.6.1.1
R_HMR_4271	v2145	1.6.1.2
R_HMR_3871	v1942	2.7.1.24
R_HMR_4716	v2393	4.1.1.30
R_HMR_4727	v2399	2.7.7.3
R_HMR_4731	v2401	2.7.1.33
R_HMR_4308	v2161	5.5.1.4
R_HMR_6542	v2951	2.7.1.137
R_HMR_6543	v2952	3.1.3.64
R_HMR_6545	v2954	3.1.3.-
R_HMR_6546	v2955	2.7.1.67
R_HMR_6547	v2956	3.1.3.-
R_HMR_6548	v2957	2.7.1.154
R_HMR_6549	v2958	3.1.3.66
R_HMR_6551	v2959	2.7.1.68
R_HMR_6552	v2960	3.1.3.36
R_HMR_6553	v2961	3.1.3.78
R_HMR_6554	v2962	2.7.1.149
R_HMR_6555	v2963	2.7.1.153
R_HMR_6557	v2964	3.1.3.-
R_HMR_6560	v2966	3.1.3.56
R_HMR_6563	v2969	2.7.1.127
R_HMR_6565	v2971	3.1.3.56
R_HMR_6572	v2977	5.5.1.4
R_HMR_6579	v2981	2.7.1.68
R_HMR_6583	v2983	3.1.3.-
R_HMR_6583	v2983	3.1.3.67
R_HMR_6587	v2985	2.7.1.137
R_HMR_6591	v2986	3.1.3.-
R_HMR_6595	v2988	2.7.1.68
R_HMR_7652	v3571	2.7.4.21
R_HMR_3923	v1960	1.8.1.4
R_HMR_3923	v1960	2.1.2.10
R_HMR_4332	v2172	1.5.1.3
R_HMR_4336	v2175	1.5.1.6
R_HMR_4442	v2233	1.5.1.5
R_HMR_4503	v2269	3.5.4.9
R_HMR_7670	v3579	6.3.4.9
R_HMR_7670	v3579	6.3.4.10
R_HMR_7670	v3579	6.3.4.11
R_HMR_7670	v3579	6.3.4.15
R_HMR_3991	v1989	1.16.3.1
R_HMR_6631	v3011	1.1.1.1
R_HMR_6631	v3011	1.1.1.105
R_HMR_6652	v3023	1.2.1.36
R_HMR_6674	v3026	1.2.1.36
R_HMR_6511	v2934	1.5.1.30
R_HMR_4559	v2296	1.2.1.3
R_HMR_8615	v3905	2.5.1.17
R_HMR_7088	v3192	1.14.14.1
R_HMR_3984	v1984	1.11.1.6
R_HMR_5295	v2630	3.6.3.9
R_HMR_0483	v240	1.1.5.3
R_HMR_0483	v240	1.1.99.5
R_HMR_4453	v2238	6.3.4.1
